Price,Details,Address,features,Area,Bedrooms,House_type
15000,2 BHK Apartment,"Srinivasa apartments, Bhagya Nagar Colony, Kukatpally, Hyderabad",Semi Furnished,975.0,2,Apartment
13000,2 BHK Apartment,"Kukatpally, Hyderabad",Unfurnished,1200.0,2,Apartment
15000,2 BHK Apartment,"ra nivas, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1150.0,2,Apartment
13000,3 BHK Independent House,"Vivekananda Nagar, Kukatpally, Hyderabad",Semi Furnished,1500.0,3,Independent
26000,2 BHK Apartment,"Vivekananda Nagar, Kukatpally, Hyderabad",Fully Furnished,1250.0,2,Apartment
9500,1 BHK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,650.0,1,Independent
10000,1 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,900.0,1,Independent
15000,2 BHK Apartment,"Srinivasa Apartments, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,975.0,2,Apartment
18000,2 BHK Apartment,"Vivekananda Nagar, Kukatpally, Hyderabad",Semi Furnished,1200.0,2,Apartment
18000,2 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1200.0,2,Independent
14000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1100.0,2,Apartment
25000,3 BHK Apartment,"Srinivasam, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1500.0,3,Apartment
10000,1 RK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,800.0,1,Apartment
20000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1690.0,3,Apartment
17000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1200.0,2,Apartment
20000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1200.0,2,Apartment
15000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1600.0,2,Apartment
13000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1000.0,2,Apartment
16000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1200.0,2,Apartment
25000,3 BHK Apartment,"vasavi srinivasam, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1500.0,3,Apartment
40000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1750.0,3,Apartment
22000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1200.0,3,Apartment
23500,3 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1250.0,3,Independent
30000,4 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,3200.0,4,Apartment
30000,3 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,2500.0,3,Independent
10000,1 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,600.0,1,Apartment
22000,3 BHK Independent Floor,"Korukonda's  Manjula Nilayam, Vivekananda Nagar, Kukatpally, Hyderabad",Semi Furnished,13000.0,3,Independent
14500,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,870.0,2,Apartment
16000,2 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,650.0,2,Independent
10000,2 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,600.0,2,Independent
11000,1 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,900.0,1,Independent
27000,3 BHK Independent House,"Jal Vayu  Vihar, Jal Vayu Vihar, Kukatpally, Hyderabad",Semi Furnished,1875.0,3,Independent
15000,2 BHK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1100.0,2,Independent
20000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,1250.0,2,Apartment
36000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,2000.0,3,Apartment
10000,1 RK Apartment,"LIVUP , Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,500.0,1,Apartment
30000,3 BHK Apartment,"Buildng, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,1460.0,3,Apartment
26000,3 BHK Independent Floor,"Swaraj Sri Venkata Sai Nilayam, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1800.0,3,Independent
23000,3 BHK Apartment,"Sumitra Nagar Colony, Kukatpally, Hyderabad",Semi Furnished,1350.0,3,Apartment
25000,2 BHK Apartment,"kukatpally housing board colony, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,1000.0,2,Apartment
50000,1 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,400.0,1,Apartment
19000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,11000.0,2,Apartment
50000,1 RK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1300.0,1,Independent
33000,4 BHK Independent Floor,"sai sreenivasam apartments kphb 3rd phase, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,3200.0,4,Independent
33000,4 BHK Apartment,"sai srinivasam apartments, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,3200.0,4,Apartment
31580,4 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,3000.0,4,Apartment
26000,3 BHK Apartment,"Manjeera Majestic Homes, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1600.0,3,Apartment
23000,2 BHK Apartment,"Manjeera Majestic Homes, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1300.0,2,Apartment
25000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1600.0,3,Apartment
25000,3 BHK Apartment,"Jal Vayu Vihar, Kukatpally, Hyderabad",Semi Furnished,1600.0,3,Apartment
22500,2 BHK Apartment,"Jal Vayu Vihar, Kukatpally, Hyderabad",Semi Furnished,1250.0,2,Apartment
16700,2 BHK Independent House,"Jal Vayu Vihar, Kukatpally, Hyderabad",Unfurnished,900.0,2,Independent
16000,2 BHK Independent House,"Jal Vayu Vihar, Kukatpally, Hyderabad",Unfurnished,900.0,2,Independent
25000,3 BHK Independent House,"Jal Vayu Vihar, Kukatpally, Hyderabad",Semi Furnished,1600.0,3,Independent
20000,2 BHK Apartment,"Jal Vayu Vihar, Kukatpally, Hyderabad",Semi Furnished,1500.0,2,Apartment
13500,2 BHK Independent Floor,"Sumitra Nagar Colony, Kukatpally, Hyderabad",Semi Furnished,1300.0,2,Independent
25000,3 BHK Independent House,"Jal Vayu vihar kukkatpally , Jal Vayu Vihar, Kukatpally, Hyderabad",Semi Furnished,1875.0,3,Independent
35000,3 BHK Independent House,"Jal Vayu Vihar, Kukatpally, Hyderabad",Fully Furnished,1450.0,3,Independent
20000,2 BHK Apartment,"Kalyans Arun Apartments, Jaya Nagar, Kukatpally, Hyderabad",Semi Furnished,1250.0,2,Apartment
14000,1 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,900.0,1,Apartment
28000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1580.0,3,Apartment
17000,2 BHK Independent Floor,"HIG forum sujana mall, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1200.0,2,Independent
17000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1300.0,2,Apartment
20000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1200.0,2,Apartment
28000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1700.0,3,Apartment
14000,2 BHK Independent Floor,"Vivekananda na, Vivekananda Nagar, Kukatpally, Hyderabad",Semi Furnished,1500.0,2,Independent
6650,5 BHK Apartment,"Vivekananda Nagar, Kukatpally, Hyderabad",Fully Furnished,3200.0,5,Apartment
10000,1 BHK Independent House,"Vivekananda Nagar, Kukatpally, Hyderabad",Semi Furnished,700.0,1,Independent
16000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1050.0,2,Apartment
25000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1000.0,2,Apartment
